anio,id_diputado,nombre_completo,rank_asistencia,pct_asistencia_ponderada,sesiones_consideradas,pct_cobertura_registro,flag_cobertura,publicar_en_ranking,status_2025,nota_status,fuente_status,no_asiste_total,no_asiste_con_just,no_asiste_sin_just,pct_no_asiste_justificada,missing_no_evaluable,disclaimer_notas,fecha_generacion
2025,1163,Marcia Raphael Mora,77,97.181,117,100.0,ok,1,,,,9,7,2,77.78,0,Inasistencias justificadas: 7/9 (77.78%).,2026-02-27
2025,1122,Luis Alberto Cuello Peña y Lillo,78,97.161,123,100.0,ok,1,,,,3,0,3,0.0,0,Inasistencias justificadas: 0/3 (0.0%).,2026-02-27
2025,1160,Alejandra Placencia Cabello,79,97.015,117,100.0,ok,1,,,,9,9,0,100.0,0,Inasistencias justificadas: 9/9 (100.0%).,2026-02-27
2025,1107,María Francisca Bello Campos,80,96.909,107,100.0,ok,1,,,,19,17,2,89.47,0,Inasistencias justificadas: 17/19 (89.47%).,2026-02-27
2025,1183,Flor Weisse Novoa,81,96.795,121,100.0,ok,1,,,,6,3,3,50.0,0,Inasistencias justificadas: 3/6 (50.0%).,2026-02-27
2025,1116,Felipe Camaño Cárdenas,82,96.716,118,100.0,ok,1,,,,9,8,1,88.89,0,Inasistencias justificadas: 8/9 (88.89%).,2026-02-27
2025,1159,Lorena Pizarro Sierra,83,96.716,118,100.0,ok,1,,,,9,7,2,77.78,0,Inasistencias justificadas: 7/9 (77.78%).,2026-02-27
2025,1110,Carlos Bianchi Chelech,84,96.688,123,100.0,ok,1,,,,4,0,4,0.0,0,Inasistencias justificadas: 0/4 (0.0%).,2026-02-27
2025,1143,Cristóbal Martínez Ramírez,85,96.688,123,100.0,ok,1,,,,4,2,2,50.0,0,Inasistencias justificadas: 2/4 (50.0%).,2026-02-27
2025,1028,Eduardo Durán Salinas,86,96.688,123,100.0,ok,1,,,,4,3,1,75.0,0,Inasistencias justificadas: 3/4 (75.0%).,2026-02-27
2025,1178,Héctor Ulloa Aguilera,87,96.688,123,100.0,ok,1,,,,4,3,1,75.0,0,Inasistencias justificadas: 3/4 (75.0%).,2026-02-27
2025,1139,Enrique Lee Flores,88,96.661,122,100.0,ok,1,,,,5,1,4,20.0,0,Inasistencias justificadas: 1/5 (20.0%).,2026-02-27
2025,1173,Daniela Serrano Salazar,89,96.635,121,100.0,ok,1,,,,6,3,3,50.0,0,Inasistencias justificadas: 3/6 (50.0%).,2026-02-27
2025,1151,Camila Musante Müller,90,96.616,115,100.0,ok,1,,,,12,9,3,75.0,0,Inasistencias justificadas: 9/12 (75.0%).,2026-02-27
2025,1087,Gael Yeomans Araya,91,96.602,120,100.0,ok,1,,,,7,6,1,85.71,0,Inasistencias justificadas: 6/7 (85.71%).,2026-02-27
2025,1167,Jaime Sáez Quiroz,92,96.502,122,100.0,ok,1,,,,5,5,0,100.0,0,Inasistencias justificadas: 5/5 (100.0%).,2026-02-27
2025,1054,Francesca Muñoz González,93,96.392,113,100.0,ok,1,,,,14,14,0,100.0,0,Inasistencias justificadas: 14/14 (100.0%).,2026-02-27
2025,74,Jaime Naranjo Ortiz,94,96.372,123,100.0,ok,1,,,,4,1,3,25.0,0,Inasistencias justificadas: 1/4 (25.0%).,2026-02-27
2025,1073,Juan Santana Castillo,95,96.372,123,100.0,ok,1,,,,4,0,4,0.0,0,Inasistencias justificadas: 0/4 (0.0%).,2026-02-27
2025,1129,Andrés Giordano Salazar,96,96.263,109,100.0,ok,1,,,,18,18,0,100.0,0,Inasistencias justificadas: 18/18 (100.0%).,2026-02-27
2025,1074,Marisela Santibáñez Novoa,97,96.257,109,100.0,ok,1,,,,18,14,4,77.78,0,Inasistencias justificadas: 14/18 (77.78%).,2026-02-27
2025,1031,Juan Fuenzalida Cobo,98,95.955,120,100.0,ok,1,,,,8,6,2,75.0,0,Inasistencias justificadas: 6/8 (75.0%).,2026-02-27
2025,1056,Emilia Nuyado Ancapichún,99,95.899,123,100.0,ok,1,,,,5,5,0,100.0,0,Inasistencias justificadas: 5/5 (100.0%).,2026-02-27
2025,1003,Renzo Trisotti Martínez,100,95.899,123,100.0,ok,1,,,,5,3,2,60.0,0,Inasistencias justificadas: 3/5 (60.0%).,2026-02-27
2025,1119,Sara Concha Smith,101,95.765,119,100.0,ok,1,,,,9,7,2,77.78,0,Inasistencias justificadas: 7/9 (77.78%).,2026-02-27
2025,1171,Emilia Schneider Videla,102,95.741,123,100.0,ok,1,,,,5,3,2,60.0,0,Inasistencias justificadas: 3/5 (60.0%).,2026-02-27
